회사명,종목코드,업종,주요제품,상장일,대표자명,홈페이지,지역
컨텍,451760,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","지상국 시스템 엔지니어링 솔루션, 위성영상 생성을 위한 데이터처리 솔루션",2023-11-09 00:00:00,이성희,http://kr.contec.kr/,대전광역시
크라우드웍스,355390,소프트웨어 개발 및 공급업,인공지능 데이터 구축 서비스,2023-08-31 00:00:00,박민우,http://www.crowdworks.kr,서울특별시
NICE평가정보,030190,기타 정보 서비스업,"개인 및 기업정보, 솔루션",2023-08-08 00:00:00,신희부,,서울특별시
씨유박스,340810,소프트웨어 개발 및 공급업,"AI얼굴인식 시스템, AI얼굴인증 솔루션, AI 객체인식 솔루션, AI데이터 플랫폼",2023-05-19 00:00:00,남운성,http://www.cubox.ai,서울특별시
핑거스토리,417180,기타 정보 서비스업,"웹툰, 디지털 만화, 웹소설",2022-12-08 00:00:00,라현성,http://www.mootoon.co.kr,서울특별시
벨로크,424760,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","보안솔루션,보안서비스",2022-07-22 00:00:00,이정현,http://www.bellock.co.kr,울산광역시
코난테크놀로지,402030,소프트웨어 개발 및 공급업,"소프트웨어(인공지능,빅데이터,자연어처리,검색엔진,대화형챗봇,음성합성,음성인식) 연구개발 및 공급, 정보통신서비스",2022-07-07 00:00:00,김영섬,http://konantech.com,서울특별시
비트나인,357880,소프트웨어 개발 및 공급업,"그래프데이터베이스, 그래프분석서비스",2021-11-10 00:00:00,강철순,http://bitnine.net,서울특별시
리파인,377450,기타 정보 서비스업,권리조사,2021-10-29 00:00:00,이창섭,http://www.refine.co.kr,서울특별시
오비고,352910,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",스마트카 소프트웨어 플랫폼,2021-07-13 00:00:00,황도연,http://obigo.com/,경기도
이노뎁,303530,소프트웨어 개발 및 공급업,영상인식 및 데이터플랫폼 솔루션,2021-06-18 00:00:00,이성진,http://innodep.co.kr,서울특별시
