회사명,승진기회가능성점수,복지급여점수,업무와 삶의 균형 점수,사내문화점수,경영진점수
넷스루,74.16666666666667,50.0,92.5,79.16666666666667,73.33333333333333
노타,84.0,92.0,85.33333333333333,100.0,90.66666666666667
데이터라이즈,60.0,70.0,60.0,50.0,60.0
데이터메이커,67.87878787878788,69.6969696969697,67.87878787878788,64.24242424242425,59.39393939393939
디딤365,63.69565217391305,53.47826086956522,64.34782608695652,56.73913043478261,55.869565217391305
딥엑스,85.71428571428571,82.85714285714286,68.57142857142857,80.0,80.0
띵스파이어,75.0,75.0,75.0,65.0,70.0
라라잡,70.0,70.0,100.0,80.0,80.0
마키나락스,56.8421052631579,61.05263157894737,78.94736842105263,73.6842105263158,58.94736842105263
메이아이,100.0,100.0,90.0,100.0,100.0
모본,48.04347826086956,56.73913043478261,52.608695652173914,43.69565217391305,36.52173913043478
모요,100.0,100.0,73.33333333333333,100.0,100.0
몰로코,78.18181818181819,85.45454545454545,72.72727272727273,78.18181818181819,81.81818181818181
미리디,60.645161290322584,56.774193548387096,72.58064516129032,71.29032258064517,59.354838709677416
버즈빌,73.66336633663366,72.47524752475248,76.03960396039604,85.34653465346534,79.8019801980198
번개장터,64.44444444444444,59.08496732026144,77.38562091503267,70.19607843137256,60.130718954248366
브레이브모바일,66.26086956521739,66.95652173913044,75.1304347826087,73.91304347826087,59.30434782608695
비모소프트,47.82608695652174,66.95652173913044,73.91304347826087,61.73913043478261,48.69565217391305
비트나인,59.42857142857143,64.0,65.71428571428571,54.285714285714285,47.142857142857146
샌즈랩,48.888888888888886,47.407407407407405,39.25925925925926,49.629629629629626,40.74074074074074
세이지리서치,90.43478260869566,92.17391304347827,95.65217391304348,93.91304347826087,93.04347826086956
스포카,61.61764705882353,50.294117647058826,72.6470588235294,76.32352941176471,62.64705882352941
스푼라디오,57.916666666666664,64.16666666666667,72.29166666666667,63.333333333333336,55.0
아이나비시스템즈,56.231884057971016,42.89855072463768,67.2463768115942,59.42028985507246,50.43478260869565
아이브,64.0,76.0,56.0,80.0,76.0
아임웹,58.148148148148145,65.18518518518519,81.85185185185185,61.851851851851855,54.074074074074076
아하랩스,84.0,96.0,96.0,84.0,92.0
알체라,58.4070796460177,56.283185840707965,60.176991150442475,61.415929203539825,53.982300884955755
앤씨앤,47.27272727272727,63.116883116883116,55.064935064935064,49.35064935064935,46.493506493506494
어니스트펀드,56.59574468085106,60.42553191489362,76.17021276595744,71.91489361702128,62.5531914893617
업스테이지,40.0,48.0,52.0,72.0,52.0
에스피에이치,73.63636363636364,90.0,94.54545454545455,81.81818181818181,72.72727272727273
에어스메디컬,64.70588235294117,57.64705882352941,89.41176470588235,81.17647058823529,51.76470588235294
에이모,58.80952380952381,61.904761904761905,71.66666666666667,62.857142857142854,57.38095238095238
에이비일팔공,83.55555555555556,69.77777777777777,72.0,86.22222222222223,80.0
에이아이트릭스,71.2,80.8,88.8,69.6,56.8
엑소시스템즈,85.0,70.0,85.0,100.0,100.0
엘리스,64.44444444444444,45.925925925925924,54.074074074074076,68.88888888888889,56.2962962962963
엠투커뮤니티,60.0,58.0,44.666666666666664,52.666666666666664,43.333333333333336
와디즈,59.13385826771653,50.62992125984252,51.181102362204726,62.44094488188976,44.488188976377955
웅진,60.470588235294116,51.76470588235294,63.6078431372549,67.05882352941177,50.27450980392157
워트인텔리전스,73.33333333333333,66.66666666666667,73.33333333333333,93.33333333333333,86.66666666666667
웨이센,100.0,90.0,100.0,90.0,95.0
이랜드이노플,53.95348837209303,60.0,87.44186046511628,75.34883720930233,58.13953488372093
잡플래닛,66.43478260869566,66.6086956521739,82.95652173913044,74.6086956521739,71.47826086956522
제이시스,63.47826086956522,73.91304347826087,67.82608695652173,73.91304347826087,71.30434782608695
제주알마켓,20.0,20.0,40.0,20.0,20.0
지에프에프지,57.69230769230769,53.205128205128204,40.64102564102564,46.282051282051285,42.56410256410256
지엠디소프트,100.0,100.0,100.0,100.0,100.0
카비,60.0,50.588235294117645,55.294117647058826,48.23529411764706,47.05882352941177
캐롯손해보험,61.25,65.0,78.75,65.41666666666667,51.25
케이티넥스알,61.31147540983606,59.34426229508197,72.45901639344262,70.1639344262295,50.49180327868852
콘센트릭스서비스코리아,52.3921568627451,45.09803921568628,60.15686274509804,51.68627450980392,42.431372549019606
쿠팡,56.705882352941174,61.490196078431374,63.294117647058826,62.98039215686274,55.13725490196079
크리에이츠,60.0,60.0,70.0,75.0,60.0
클레온,76.0,70.0,56.0,66.0,58.0
키다리스튜디오,54.36893203883495,65.4368932038835,66.2135922330097,59.61165048543689,49.90291262135922
티오더,58.095238095238095,56.19047619047619,61.904761904761905,59.04761904761905,56.19047619047619
파이온코퍼레이션,65.0,65.0,85.0,85.0,80.0
플래티어,60.36363636363637,64.9090909090909,67.27272727272727,61.45454545454545,53.81818181818182
플리토,60.24539877300614,57.668711656441715,72.02453987730061,65.15337423312883,55.4601226993865
피클플러스,90.0,86.66666666666667,60.0,90.0,76.66666666666667
핀다,70.25641025641026,65.12820512820512,74.35897435897436,69.74358974358974,67.6923076923077
하이,66.66666666666667,63.333333333333336,73.33333333333333,81.66666666666667,70.0
하이브,52.857142857142854,68.83928571428571,46.964285714285715,54.55357142857143,47.94642857142857
한국그린데이터,75.0,85.0,95.0,75.0,75.0
한류뱅크,55.65217391304348,45.21739130434783,61.73913043478261,49.56521739130435,29.565217391304348
해줌,57.77777777777778,61.111111111111114,79.62962962962963,72.5925925925926,57.03703703703704
휴맥스모빌리티,45.16129032258065,51.935483870967744,71.61290322580645,51.29032258064516,34.83870967741935
