회사명,승진기회가능성점수,복지급여점수,업무와 삶의 균형 점수,사내문화점수,경영진점수
넷스루,83.33333333333333,56.666666666666664,90.0,76.66666666666667,73.33333333333333
데이터메이커,77.14285714285714,74.28571428571429,77.14285714285714,65.71428571428571,77.14285714285714
디딤365,80.0,70.0,80.0,70.0,70.0
마키나락스,60.0,56.0,80.0,76.0,64.0
몰로코,100.0,100.0,80.0,100.0,100.0
버즈빌,83.33333333333333,80.0,93.33333333333333,93.33333333333333,83.33333333333333
번개장터,72.5,65.0,80.0,82.5,70.0
브레이브모바일,65.0,60.0,55.0,65.0,50.0
비트나인,68.57142857142857,65.71428571428571,85.71428571428571,65.71428571428571,54.285714285714285
세이지리서치,100.0,90.0,100.0,100.0,100.0
스포카,73.33333333333333,66.66666666666667,73.33333333333333,66.66666666666667,53.333333333333336
스푼라디오,50.0,50.0,70.0,60.0,40.0
아이나비시스템즈,71.11111111111111,40.0,71.11111111111111,64.44444444444444,51.111111111111114
알체라,58.57142857142857,52.857142857142854,62.142857142857146,60.714285714285715,55.714285714285715
앤씨앤,40.0,80.0,20.0,20.0,40.0
어니스트펀드,60.0,60.0,60.0,60.0,60.0
에스피에이치,80.0,85.0,95.0,75.0,65.0
에어스메디컬,80.0,30.0,100.0,90.0,40.0
에이모,58.26086956521739,59.130434782608695,74.78260869565217,61.73913043478261,60.869565217391305
에이비일팔공,80.0,80.0,60.0,100.0,100.0
에이아이트릭스,100.0,100.0,100.0,100.0,100.0
와디즈,60.0,45.0,65.0,65.0,40.0
이랜드이노플,40.0,40.0,80.0,60.0,40.0
잡플래닛,70.0,70.0,90.0,80.0,80.0
제이시스,40.0,60.0,60.0,60.0,80.0
카비,40.0,20.0,40.0,20.0,20.0
캐롯손해보험,60.0,60.0,100.0,60.0,20.0
케이티넥스알,56.666666666666664,56.666666666666664,73.33333333333333,80.0,60.0
콘센트릭스서비스코리아,63.529411764705884,50.588235294117645,69.41176470588235,51.76470588235294,41.1764705882353
쿠팡,52.0,56.0,80.0,80.0,64.0
키다리스튜디오,50.0,55.0,80.0,65.0,50.0
플래티어,60.0,65.0,65.0,55.0,45.0
플리토,40.0,40.0,60.0,40.0,20.0
핀다,66.66666666666667,60.0,66.66666666666667,60.0,60.0
하이브,76.0,84.0,68.0,88.0,84.0
해줌,70.0,70.0,80.0,90.0,70.0
