회사명,회사의종류,리뷰어분야,직원여부,지역,날짜,제목,좋은점,나쁜점,희망사항(경영진에게),성장,추천,승진기회가능성점수,복지급여점수,업무와 삶의 균형 점수,사내문화점수,경영진점수
에이비일팔공,IT/웹/통신,디자인,현직원,서울,2024. 01,재택있어서 좋다미팅위주로 만나서 하고,자율적인 분위기에 절차보다 학습에 집중된다 팀원분들이 다들 열심히,아직 중소기업이라 대기업에 비해서는 당연히 복지가 부족하다,회사가 더 커지고 잘되서 복지도 더 좋아졌으면 좋겠다,이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,80,80,80,80,80
에이비일팔공,IT/웹/통신,영업/제휴,현직원,서울,2024. 01,"지금까지는 좋았지만, 앞으로도 크게 성장할 수 있을지에 대해서는 물음표인 회사","젊고 열정적이며 솔직한 동료들. 배움을 권장하는 문화. 국내 개발 SaaS 중 제법 사업성이 있는 프로덕트. 사무실이 강남역 2호선과 가까워서 교통이 편하고, 출퇴근 시간이 자유로워서 개인 업무나 일정에 맞추어 시간 활용 가능. (11-5시 코어타임 필수근무, 그 외 선택적 근로시간제, 주2회 재택, 연차 자가승인 등)",어느새 창립한지도 꽤 된 회사고 직원 수도 제법 많은데 그에 비해 룰이 없음. R&R도 명확하지 않아 찾아서 일하는 일부에게 미친듯이 일이 몰림. 누가 못한다고 하면 못하는 사람을 할 수 있게 할 생각을 안 하고 할 줄 아는 사람에게 일을 줘버림.. C-level을 포함해 회사 전체적으로 경력자가 없다시피 해서 사실상 기업 내 리더십 부재. 원래도 없었지만 그나마도 더 줄어가는 복지와 다소 노골적으로 사용자편인 HR. 평가와 보상이 명확하지 않을 뿐더러 제 때 시간 맞춰 진행되지도 않음. 부쩍 퇴사자가 늘은 느낌인데 인력관리가 제대로 안 되고 있는 것 같음.,"경영진이 모두 에이비일팔공 외 경력이 많지 않은 걸 구성원들도 모두 알고 있는데 타운홀 같은 자리를 빌어 자꾸만 잔소리, 회초리질을 하니 반발심이 듭니다. 그러려고 구성원들 모아놓나요?차라리 가까운 곳에서 같이 고민해주시는 포지셔닝을 하는 게 낫지 않을까요. 심적으로 의지할 수 있는 환경은 없이 더 잘하라는 얘기만 듣기 지칩니다.",이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,60,40,40,80,40
에이비일팔공,IT/웹/통신,전문직,현직원,서울,2024. 01,동료가 좋고 돈을 많이 주지만 해야 할 일의 양이 감당이 안 될 정도로 벅차고 비전이 애매한 채로 그저 성장만 외쳐서 심적인 동기 부여가 약하다,쉽게 이해하기 어려운 분야라는 걸 인지하고 주변 모든 동료가 무시하는 투 하나없이 서로가 서로에게 열심히 알려주고 도와주려고 한다.연봉을 충분하게 많이 주고 재택근무 체제를 적절히 유지하고 있다.연령대가 젊은 것 이상으로 어리기까지 해서 활력 있고 밝다.,"해야 할 일이 항상 산더미이고 그 상태가 소강 상태로 잠시라도 변하는 걸 본 적이 거의 없어서 완전한 워라밸을 기대하면 실망할 수 있다.스페셜리스트, 팀 내 파트 전담 같은 조금 기이한 이름을 붙여서 한 사람에게 특정 업무를 몰아주는데 분명 가혹한 상황이라고 생각되는데도 그걸 별일 아닌 것처럼 느끼는 경향이 있다.복지를 늘려나가려는 듯하지만 정작 중요한 식대는 여전히 없다.",다들 일단은 열심히 달리고 있지만 달리는 이유와 목적을 슬슬 확실하게 만들어 주셔야 할 것 같습니다. 이제는 100명이 넘으면서 창업하셨던 초반처럼 한 사람 한 사람과 이야기 나누면서 개인적으로 동의를 끌어내기 어려운 환경이 되었을 테니까요. 그리고 시장에서 경쟁과 싸움을 이겨내기 위해 같은 산업적인 차원에서 더 나아가 적당한 진실과 포부가 뒤섞인 꿈을 파셔야 직원들이 더 오래오래 함께할 겁니다. 화이팅입니다.,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천 합니다!,100,80,40,100,60
에이비일팔공,IT/웹/통신,영업/제휴,전직원,서울,2023. 12,스스로 발전하고자 하는 사람에게 어울리는 회사,"강남역 9번 출구와 가까운 위치라서 좋음. 함께 일하는 동료들, 회사 문화가 전반적으로 좋은 편. 견제하거나 시기질투 하는 사람이 없음.",생각보다 확립된게 별로 없음. 스타트업 치고는 규모가 꽤나 크고 직원 수도 많지만 실상은 속 빈 강정같은 느낌..  복지랄게 아예 없음. 기대도 하면 안됨,직원들 한 명 한 명을 대체 가능한 부품이 아니라 전문성을 가진 사람으로 인정해주면 좋겠다.,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,80,40,80,80,60
에이비일팔공,IT/웹/통신,영업/제휴,현직원,서울,2023. 11,깔끔한 브랜딩이 강점이지만 그만큼 경직되어있음,스타트업인 것에 비해 체계가 잘 잡혀있다.브랜딩이 깔끔해서 업계 인식이 좋다.수많은 IT 솔루션 중 주요한 3가지 프로덕트를 다룬다.최근 시리즈B 투자를 받았다.야근시 저녁 식대가 나온다.,몰로X의 좋지 않은 문화를 가져온 느낌이 있다. 선을 넘는 피드백 때문에 성격이 점점 건조해진다. 일은 각개전투로 처리하며 양이 많아 퇴근 후는 물론 주말과 공휴일에도 일해야 끝낼 수 있다. 정규직으로 입사하더라도 채용형 인턴으로 생각해야 한다.최근 애플과 구글의 개인정보보호 정책 기조를 보면 회사의 성장 가능성을 높게 평가하기 어렵다.,경영진에 바라는 점 없습니다. 괜찮은 것 같네요.,이 기업을 추천하지 않습니다.,이 기업을 추천하지 않습니다.,100,60,20,60,80
에이비일팔공,IT/웹/통신,영업/제휴,현직원,서울,2023. 09,일에 진심인 여러 사람들과 함께 일할 수 있고 다양한 방향으로 고민하며 비지니스에 기여할 수 있는 곳,성과를 내는 것에 집중할 수 있음. 정치질이 비교적 적은 편이고 성과 기반인 편.,회사의 방향성에 대해서 명확히 파악하기 어렵고 매니지먼트의 커뮤가 좀 느린 편.,"좋은 에너지로 밀고 나가는 건 좋다고 생각함. 다만, 윗선에서 쥐고 있는 업무를 밑으로 내려놓는 작업이 필요하다고 생각함.",이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,100,100,100,100,100
에이비일팔공,IT/웹/통신,서비스/고객지원,현직원,서울,2023. 06,일이 많이 바쁜편입니다. 워라벨을 지키고 싶다면 추천하지 않습니다.,사람들이 다 좋고 배울점이 많습니다. 또한 IT 기업이라 수평적이고 자유로운 문화가 있는 것 같습니다. 강남역에 위치한 사무실도 편리합니다.,일이 많은편입니다. 일이 많은것에 대비하여 적절한 보상 및 격려가 이뤄지지 않아 사기가 떨어질 수 있을 것 같습니다.,내부 조직 문화가 자유로운 편이라 이미 내부적으로 커뮤니케이션이 잘 되고 있을 것이라고 생각하여 없습니다.,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,80,60,60,80,60
에이비일팔공,IT/웹/통신,마케팅/시장조사,전직원,서울,2023. 05,규모가 계속 커지고 있음 서로 잘 도와주는 협조적인 분위기  c레벨에 대한 신뢰도 높음,"규모가 계속 커지고 있음
서로 잘 도와주는 협조적인 분위기
경영진에 대한 신뢰도가 높음","시니어가 부족해서 어느 시기가 되면 개인 성장에 한계가 느껴짐
업무 퀄리티가 제대로 관리되지 않는 것 같음","회사가 잘 돌아가고 있는지 자주 공유해주시면 좋겠습니다 (자금, 신사업)
시니어 및 리드급에 대한 관리가 필요 (HRD를 통한 성장 돌파구 찾기 필요, 시니어 및 리드를 통해 업무 퀄리티 관리되도록 하기)",이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,80,60,80,60,80
에이비일팔공,IT/웹/통신,디자인,전직원,서울,2023. 01,동료들만 생각한다면 추천해주고 싶은 회사,진짜 주변에 좋은 동료들과 능력있는 동료들이 많은 것이 정말 큰 장점이다. 그리고 마케팅과 데이터 분석관련 분야로 커리어를 쌓고 싶다면 국내 선두주자로 볼 수 있을 만큼 내부적으로 배울 수 있는 점이 많은 회사다.,재직했을 년도땐 무난한 복지였지만 계속 근무하시는 분들의 소식을 들어보면 최근에는 복지가 줄고 있다고 한다. 좋은 인재와 능력자들이 많지만 그 많고 좋은 사람들을 동기 유지해줄만한 좋은 메리트한 복지가 없다는 점이다. 어느 회사를 가도 있을만한 평균적인 복지... 그리고 연봉협상이 좀 짠 편이다.,"경영진분들 모두 훌륭하시고 좋은 분들이라 생각합니다. 퇴사한 지금까지도 아직도 에이비일팔공은 제 기억에 부정적인 면은 크게 없습니다. 다만, 복지적인 면은 아직까지도 계속 언급이 되고 있다는 것은 문제라 생각되네요.",이 기업은 1년 후      비슷할 것이다.,이 기업을 추천 합니다!,60,60,60,80,80
에이비일팔공,IT/웹/통신,개발,전직원,서울,2022. 12,성장 욕구가 있다면 그걸 실현할 수 있는 회사. 열심히 일하는 사람 정말 많다.,모바일 마케팅 쪽 도메인에서 일하고 싶다면 많은 것을 배울 수 있음. 똑똑한 사람들이 열심히 일하는 회사라고 생각함.,일이 너무 많음. 다들 일 잘하는 회사라는 이미지를 가지고 있고 그걸 좋아하는데 그것이 좋은 것인지는 잘 모르겠음.,일 잘하는 회사라는 이미지에 다들 열심히 달리는데 사람들이 지치지 않는지 확인해줬으면 함.,이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,80,80,60,60,80
